age,gender,height_cm,weight_kg,waist_cm,neck_cm,hip_cm,sleep_hours,workouts_per_week,daily_calories,activity_level,fitness_goal,body_fat_percentage
28,female,156.1,47.8,95.0,30.2,98.4,6.0,0,1887,sedentary,muscle_gain,13.78
30,male,179.5,76.2,88.6,33.7,93.0,6.4,2,2730,moderate,muscle_gain,19.08
23,female,158.8,59.7,96.5,30.2,92.2,7.9,3,1200,moderate,fat_loss,17.5
16,female,156.4,59.9,105.2,29.0,101.9,7.5,1,1275,sedentary,fat_loss,16.87
30,male,172.4,76.9,87.7,30.2,101.3,7.8,1,1818,sedentary,fat_loss,21.75
17,female,154.1,55.7,87.7,28.2,98.2,6.5,0,1515,light,fat_loss,15.86
24,female,163.4,59.8,105.8,29.6,99.7,8.2,4,1668,moderate,fat_loss,16.2
21,female,163.4,52.9,97.7,28.0,102.0,7.3,3,1914,moderate,maintain,12.41
20,male,174.3,84.0,85.3,35.4,101.8,7.4,3,2402,moderate,fat_loss,21.58
25,male,161.2,53.4,95.4,33.1,91.6,6.9,4,1416,light,fat_loss,14.21
23,male,182.7,84.8,85.4,35.8,97.2,4.9,1,2512,sedentary,muscle_gain,19.58
24,female,177.5,95.6,85.3,32.8,107.5,8.3,2,2790,light,muscle_gain,25.73
18,female,167.5,83.4,92.4,34.0,102.2,7.5,0,1570,sedentary,fat_loss,23.61
21,female,170.1,77.2,70.9,31.0,101.6,6.1,3,2003,moderate,fat_loss,20.65
19,male,159.0,66.3,72.8,34.8,98.3,8.9,2,1856,sedentary,maintain,19.64
21,male,190.5,87.1,84.4,30.8,93.2,7.1,2,2159,light,fat_loss,17.43
21,male,172.9,65.7,79.9,28.0,83.4,6.8,1,2402,light,muscle_gain,15.0
30,male,165.0,65.3,93.1,34.1,87.3,6.2,0,2272,light,muscle_gain,19.48
21,female,171.9,76.5,80.9,32.1,106.4,6.4,3,1959,moderate,fat_loss,19.7
16,female,153.7,62.8,75.9,32.2,107.1,5.6,3,2094,light,muscle_gain,19.38
28,female,153.3,59.8,104.7,34.2,94.6,6.5,4,1415,active,fat_loss,20.78
24,male,171.3,81.9,87.7,35.1,92.1,6.8,4,2211,moderate,fat_loss,22.81
21,female,159.1,57.9,90.7,29.9,95.6,7.4,5,1947,active,fat_loss,16.08
20,female,147.1,53.6,75.8,30.6,101.4,5.4,2,2017,moderate,maintain,18.12
18,female,150.7,40.4,84.6,32.8,93.5,6.2,5,1200,moderate,fat_loss,9.29
31,male,184.5,110.4,91.1,37.2,93.7,5.7,5,2588,moderate,fat_loss,29.85
22,male,171.1,65.4,78.5,34.1,95.3,7.8,3,2198,light,maintain,15.67
16,male,166.1,74.2,93.8,35.9,92.2,7.6,4,2109,light,fat_loss,19.75
23,male,168.8,67.1,84.0,33.3,92.4,5.2,5,2261,moderate,maintain,17.35
27,female,163.8,62.6,87.1,28.9,96.6,6.7,3,1590,sedentary,muscle_gain,18.01
23,female,163.0,63.7,84.0,29.1,101.9,8.3,1,1991,sedentary,muscle_gain,17.86
18,female,158.7,44.1,108.5,28.4,94.2,7.6,6,2078,active,muscle_gain,8.95
18,male,189.2,59.3,89.9,32.0,85.2,6.8,1,2621,sedentary,muscle_gain,7.82
18,male,186.2,100.2,79.4,35.7,91.0,7.4,3,2411,light,fat_loss,22.62
29,male,176.0,81.1,98.2,34.9,88.0,7.6,4,2419,moderate,maintain,21.89
22,male,181.2,70.7,77.8,32.2,88.7,8.7,1,1981,sedentary,maintain,14.7
16,male,181.1,81.3,92.1,33.2,90.8,6.6,4,3178,active,maintain,17.23
24,male,171.1,82.5,70.4,32.9,90.8,8.4,0,2387,sedentary,muscle_gain,23.14
23,male,178.5,66.3,76.7,32.2,90.2,6.3,6,3077,active,muscle_gain,14.06
20,female,160.5,63.9,92.0,30.0,97.4,6.4,5,2820,moderate,muscle_gain,18.17
17,male,163.2,76.6,97.4,36.2,97.3,7.0,0,1566,sedentary,fat_loss,22.22
17,female,161.7,51.5,91.7,28.0,100.0,7.3,1,1958,sedentary,muscle_gain,11.35
27,female,161.2,66.0,88.8,30.5,100.4,7.6,4,2312,light,muscle_gain,20.49
23,male,172.7,78.2,87.0,33.3,93.8,6.9,4,2801,light,muscle_gain,20.55
24,female,161.0,82.6,75.2,33.1,109.4,6.7,0,1380,sedentary,fat_loss,27.56
23,female,155.8,61.9,82.8,28.4,96.1,6.1,6,2480,active,muscle_gain,19.69
23,male,174.2,71.3,85.4,33.3,86.7,7.6,1,2078,sedentary,muscle_gain,17.29
20,male,179.8,75.2,100.6,34.5,91.5,7.0,5,2435,moderate,fat_loss,16.31
21,female,153.0,77.1,93.4,32.2,106.1,7.4,1,1716,sedentary,maintain,28.15
27,male,170.8,66.7,72.4,34.8,85.5,7.2,6,3009,active,muscle_gain,17.45
28,male,166.1,76.4,93.2,30.7,94.6,8.3,1,1953,sedentary,fat_loss,23.47
17,male,168.7,68.2,86.1,32.0,89.9,8.1,3,1902,light,fat_loss,16.47
21,female,158.7,67.9,83.2,33.4,102.8,7.7,3,2370,moderate,muscle_gain,20.98
26,female,147.4,63.2,96.1,30.3,104.4,6.9,1,1200,sedentary,fat_loss,24.69
30,female,169.6,66.7,100.3,29.4,96.5,5.7,4,2323,moderate,maintain,18.53
30,female,147.3,49.1,99.3,31.2,100.9,6.6,1,1200,light,fat_loss,17.86
18,male,180.0,77.8,81.6,32.0,91.6,7.0,3,2155,light,fat_loss,16.75
28,male,167.5,50.5,86.9,31.4,88.2,6.4,1,1641,light,fat_loss,11.84
22,male,166.2,63.8,93.3,32.2,92.6,7.4,5,2718,moderate,muscle_gain,16.58
27,male,180.0,83.8,99.8,32.3,94.0,7.2,0,2323,sedentary,maintain,21.05
26,female,162.5,58.0,85.2,28.8,94.8,6.3,0,1427,sedentary,maintain,16.14
16,male,170.6,55.8,88.1,34.0,82.1,8.3,2,2163,sedentary,muscle_gain,10.49
24,male,176.9,77.5,78.9,34.0,99.1,7.5,1,2061,light,maintain,19.04
27,female,154.5,62.3,78.0,28.0,102.3,7.1,1,1200,sedentary,fat_loss,21.33
22,female,153.7,59.9,98.1,31.8,106.3,7.8,7,2534,active,muscle_gain,19.29
21,male,181.7,67.8,103.6,30.9,95.6,6.3,3,2470,light,maintain,13.27
16,male,169.1,72.3,89.3,35.6,106.2,6.4,4,2071,moderate,fat_loss,17.82
25,male,183.9,81.5,100.0,36.1,87.6,6.8,0,2837,light,maintain,18.47
23,male,162.7,72.0,93.6,31.5,96.3,7.5,3,1547,light,fat_loss,21.73
18,male,174.2,64.7,83.5,33.2,94.0,7.4,1,1941,light,fat_loss,13.53
21,male,170.7,83.4,93.6,33.3,90.8,9.9,2,2762,light,muscle_gain,22.98
23,male,158.2,75.6,105.4,35.1,92.2,6.2,1,2290,light,maintain,25.34
19,female,169.2,74.4,89.6,33.6,100.0,7.3,0,1788,light,fat_loss,19.36
22,male,158.5,69.4,105.6,31.6,95.0,6.8,2,2128,light,maintain,22.01
16,male,170.0,75.7,70.0,36.2,92.4,7.3,7,2901,active,fat_loss,18.91
28,male,179.7,69.6,98.2,32.6,85.1,7.8,2,2149,sedentary,muscle_gain,16.1
22,male,168.3,65.5,90.9,32.4,94.0,7.2,4,2335,light,muscle_gain,16.61
17,female,176.4,80.1,87.0,33.4,102.0,7.5,1,1724,sedentary,fat_loss,18.6
16,male,177.6,97.6,90.9,33.9,95.7,6.7,3,2921,light,muscle_gain,24.61
27,female,163.1,52.6,70.1,29.4,91.3,8.5,2,1938,moderate,muscle_gain,13.74
25,female,150.2,71.4,87.8,28.0,101.0,6.6,1,2050,sedentary,muscle_gain,27.53
23,male,180.9,74.1,93.6,29.1,88.7,4.1,4,2320,moderate,fat_loss,16.26
26,female,158.1,59.7,104.8,31.1,105.3,6.5,2,1682,light,fat_loss,18.44
26,male,168.8,83.1,84.8,33.9,101.8,9.1,3,2330,sedentary,maintain,24.78
23,male,178.1,96.6,81.9,31.9,99.3,5.8,6,3776,active,muscle_gain,25.64
21,male,163.4,73.2,85.0,33.1,95.3,7.5,1,2403,light,maintain,21.53
20,female,168.7,78.7,99.2,29.7,102.3,6.2,5,2422,moderate,muscle_gain,21.58
24,male,170.5,62.3,93.3,32.7,87.3,7.4,3,2049,light,maintain,15.04
28,male,178.1,67.7,84.7,33.9,92.9,7.8,6,2393,active,fat_loss,15.85
22,male,178.1,62.6,95.1,35.5,92.0,6.6,2,2644,light,muscle_gain,12.54
29,male,170.9,66.5,91.0,34.0,88.5,8.0,4,2419,light,muscle_gain,17.79
24,female,161.0,66.6,99.7,30.0,100.9,7.9,4,1731,moderate,fat_loss,20.15
24,male,171.7,78.8,83.0,35.0,95.6,7.3,3,1989,light,fat_loss,21.4
33,male,177.0,97.1,86.7,37.7,100.0,6.8,3,3025,light,muscle_gain,28.58
29,male,165.1,82.2,86.1,33.1,105.4,6.7,3,2729,active,maintain,26.66
30,female,150.4,55.0,75.4,31.0,102.5,6.0,6,2020,moderate,muscle_gain,19.88
18,male,182.4,72.3,93.0,30.3,88.0,6.1,2,2580,moderate,fat_loss,14.02
32,male,166.9,78.3,92.6,33.5,97.4,7.3,6,2594,moderate,maintain,24.89
22,male,174.5,86.3,90.1,35.3,97.2,7.2,5,2352,moderate,fat_loss,22.87
21,female,168.1,69.5,87.7,30.3,99.5,7.2,7,2210,active,fat_loss,18.14
16,female,158.1,64.3,75.8,32.1,107.3,7.9,5,1820,moderate,maintain,18.35
23,female,160.7,66.0,85.8,30.6,104.4,7.0,2,2000,light,muscle_gain,19.76
17,male,171.4,64.4,86.6,33.0,95.6,8.4,0,1984,sedentary,maintain,14.02
24,female,157.8,48.9,82.0,28.0,101.6,5.6,2,1589,moderate,maintain,12.89
17,female,162.5,64.2,88.4,28.6,96.0,8.6,4,2486,moderate,muscle_gain,16.88
